No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
18,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2103.53B,21.61,131.86,-0.28%,"63,814,892"
19,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,-,-,17.06,-0.58%,"52,558"
20,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.60B,37.90,26.53,0.15%,"106,099"
22,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,33.80M,-,0.25,-0.41%,"165,930"
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.86B,8.13,100.70,0.03%,"146,116"
24,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,64.51,-0.17%,"409,925"
25,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.50B,10.12,34.27,-1.58%,"415,793"
26,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,59.22B,14.72,30.30,0.56%,"675,249"
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,288.74B,21.73,163.10,-0.10%,"2,685,137"
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,34.27B,21.15,170.01,0.44%,"528,080"
29,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.27B,9.61,47.86,1.55%,"149,599"
30,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,3.02B,12.93,10.33,-1.99%,"1,234,923"
31,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,3.47B,429.17,15.45,-1.97%,"215,396"
32,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,44.70M,-,2.51,-3.46%,"131,409"
33,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,28.10,0.83%,"4,505"
34,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,43.96B,17.56,2.81,1.81%,"10,219,451"
35,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.68B,4.81,169.01,1.65%,"248,776"
36,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,194.45M,-,10.07,0.10%,"24,748"
37,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,34.59M,-,2.35,-2.08%,"77,368"
38,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.87B,12.93,44.11,0.87%,"199,299"
39,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,53.74B,35.57,85.25,0.45%,"3,057,684"
40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,227.52M,-,5.21,-6.29%,"96,007"
42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,204.70M,-,2.17,-2.03%,"223,962"
43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,715.84M,-,9.79,-2.68%,"42,523"
44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,188.36B,24.30,108.18,0.14%,"2,618,442"
45,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,377.09M,-,2.39,-0.83%,"485,503"
46,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,21.00M,-,0.69,6.98%,"8,207"
47,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,907.39M,-,40.69,-1.31%,"2,747"
48,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.67B,27.07,55.69,0.89%,"83,299"
49,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.56B,-,15.47,-2.21%,"1,435,054"
50,ACAQ,Athena Consumer Acquisition Corp.,Financial,Shell Companies,USA,333.09M,-,10.38,0.06%,653
51,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,372.50M,-,0.93,2.08%,"6,313,737"
52,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,573.39M,-,8.35,4.77%,"1,344,689"
53,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,523.12M,28.04,5.58,0.54%,"440,986"
54,ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,USA,3.62B,62.20,25.19,7.83%,"284,936"
55,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,663.89M,10.36,7.57,-0.26%,"142,754"
56,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,68.00M,-,3.72,-10.36%,"2,302,729"
57,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,46.51,-0.51%,"48,227"
58,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,345.03M,-,7.93,-1.49%,"363,339"
59,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,23.25B,20.30,63.38,0.84%,"890,275"
60,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,23.44B,3.98,18.68,0.27%,"63,704"
62,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,32.31M,-,0.80,1.28%,"1,126,316"
63,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,445.19M,-,1.80,-1.64%,"1,470,269"
64,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,44.20M,-,2.50,1.21%,"79,392"
65,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,11.23B,7.48,21.13,0.71%,"1,420,328"
66,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,29.00,0.55%,"62,059"
67,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,143.70M,-,1.75,1.45%,"138,880"
68,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,2.39B,15.94,21.97,3.10%,"680,959"
69,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2.64B,16.73,80.27,-0.20%,"234,085"
70,ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,USA,1.40B,-,31.44,-1.66%,"337,722"
71,ACM,AECOM,Industrials,Engineering & Construction,USA,11.72B,31.07,84.69,0.19%,"516,895"
72,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,450.67M,15.44,7.52,-0.79%,"453,036"
73,ACN,Accenture plc,Technology,Information Technology Services,Ireland,174.32B,24.16,266.09,0.50%,"1,213,276"
74,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,345.52M,11.67,40.27,-0.81%,"14,244"
75,ACNT,Ascent Industries Co.,Basic Materials,Steel,USA,91.80M,2.89,8.50,-5.24%,"57,605"
76,ACON,"Aclarion, Inc.",Healthcare,Health Information Services,USA,3.20M,-,0.48,16.96%,"50,104"
77,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,12.80M,-,0.58,9.93%,"77,093"
78,ACP,Abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,177.81M,3.43,7.17,4.44%,"126,224"
79,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,624.24M,32.69,10.07,0.00%,"16,200"
80,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,624.23M,77.54,10.08,0.50%,990
82,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,586.93M,12.01,10.94,1.48%,"550,025"
83,ACRO,Acropolis Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,426.10M,-,9.90,0.20%,"30,600"
84,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.02B,-,15.08,-1.37%,"288,761"
85,ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,USA,243.31M,-,11.65,2.64%,"7,155"
86,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,16.99M,0.33,2.07,-9.21%,"246,208"
87,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,30.81M,-,0.52,-4.71%,"230,530"
88,ACT,"Enact Holdings, Inc.",Financial,Insurance - Specialty,USA,3.89B,5.53,24.19,1.17%,"60,582"
89,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,170.70M,-,3.98,1.53%,"298,428"
90,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,80.17M,14.44,22.27,-1.69%,"3,969"
91,ACV,Virtus Diversified Income & Convertible Fund,Financial,Asset Management,USA,202.49M,-,19.54,-0.18%,"26,004"
92,ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA,1.25B,-,7.81,-1.51%,"591,136"
93,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,31.73,0.57%,"10,073"
94,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,85.06,0.46%,"4,502,250"
95,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,95.17,0.26%,"143,845"
96,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,45.59,0.29%,"2,210,927"
97,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,43.70M,-,3.93,4.24%,"22,586"
98,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,53.40M,-,1.26,2.44%,"18,670"
99,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,231.00M,-,1.36,-3.55%,"169,441"
100,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,156.45B,33.50,338.45,0.57%,"1,629,781"
102,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,236.90M,-,3.52,14.29%,"1,804,764"
103,ADD,"Color Star Technology Co., Ltd.",Communication Services,Entertainment,USA,5.20M,-,0.80,-0.02%,"22,225"
104,ADEA,Adeia Inc.,Technology,Software - Application,USA,994.93M,-,9.48,0.11%,"247,133"
105,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,348.23M,39.69,10.12,-0.10%,"31,375"
106,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,42.41M,-,2.28,2.70%,"34,578"
107,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,347.41M,134.27,10.07,-0.44%,57
108,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,83.40B,31.08,163.84,0.05%,"1,498,283"
109,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,6.70M,-,0.22,-11.60%,"206,930"
110,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,51.36B,13.06,94.62,1.21%,"1,106,755"
111,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,827.49M,-,3.65,-3.95%,"1,465,092"
112,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,33.90,0.21%,"45,545"
113,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,24.00M,-,0.16,-2.44%,"700,694"
114,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA,93.60M,-,1.79,-1.10%,"169,323"
115,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,3.19B,-,34.06,1.22%,"364,029"
116,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,50.56M,-,10.49,0.19%,"6,100"
117,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,99.21B,33.38,240.94,0.74%,"1,049,559"
118,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,1.15B,-,7.50,-6.95%,"609,676"
119,ADPV,Adaptiv Select ETF,Financial,Exchange Traded Fund,USA,-,-,25.07,0.00%,"20,198"
120,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,37.40,-0.98%,"1,412"
122,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,40.59B,66.37,188.16,0.03%,"941,108"
123,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,8.28B,-,9.16,1.10%,"1,338,082"
124,ADTH,"AdTheorent Holding Company, Inc.",Communication Services,Advertising Agencies,USA,136.40M,3.67,1.55,-1.27%,"24,764"
125,ADTHW,"AdTheorent Holding Company, Inc.",Communication Services,Advertising Agencies,USA,-,-,0.09,-10.09%,"26,107"
126,ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,USA,1.45B,-,18.79,0.64%,"231,747"
127,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,5.20M,-,1.13,-5.83%,"48,605"
128,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.64B,36.71,100.96,-0.76%,"54,972"
129,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,607.39M,8.78,1.87,-1.58%,"239,726"
130,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,60.70M,-,0.57,-6.31%,"349,564"
131,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.72B,2.61,14.59,0.41%,"224,587"
132,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,14.14M,-,0.56,1.01%,"36,311"
133,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,98.64M,12.77,39.30,-2.26%,"11,798"
134,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,302.70M,25.04,10.09,0.00%,595
135,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,22.84B,22.40,89.53,1.32%,"791,963"
136,AEF,Abrdn Emerging Markets Equity Income Fund Inc,Financial,Asset Management,United Kingdom,260.36M,-,5.13,-0.19%,"14,147"
137,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10.82B,34.73,5.14,1.18%,"1,410,806"
138,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,3.30M,-,0.59,9.24%,"36,158"
139,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,573.59M,64.36,20.98,0.58%,"1,031,530"
140,AEI,Alset Inc.,Real Estate,Real Estate - Development,USA,24.70M,-,0.17,-0.60%,"572,856"
142,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3.92B,3.36,46.00,0.46%,"866,671"
143,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,23.60B,35.51,52.62,1.64%,"2,074,348"
144,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,5.80M,-,0.25,-0.87%,"145,822"
145,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru,174.49M,-,2.75,3.00%,"32,708"
146,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,2.70B,25.60,14.59,1.11%,"3,381,778"
147,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,48.54B,19.84,95.69,1.29%,"1,406,196"
148,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,13.82B,-,56.68,0.87%,"438,113"
149,AERC,"AeroClean Technologies, Inc.",Industrials,Pollution & Treatment Controls,USA,48.70M,-,3.15,0.32%,"40,404"
150,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,18.91B,-,28.68,1.31%,"1,532,491"
151,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA,19.16B,-,101.92,0.95%,"5,353"
152,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,11.52,1.05%,"6,839"
153,AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA,285.90M,-,1.27,-3.05%,"1,222,457"
154,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,20.20M,-,1.40,-2.78%,"46,632"
155,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,46.01M,-,3.85,-3.75%,"26,039"
156,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,15.29M,-,3.22,0.78%,"4,867"
157,AFB,"AllianceBernstein National Municipal Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,300.38M,10.89,10.45,-0.19%,"167,171"
158,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA,96.55M,14.58,14.54,0.00%,"21,075"
159,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,334.86M,7.95,16.52,0.49%,"70,457"
160,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11.59B,12.02,137.82,1.26%,"145,448"
162,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,8.79,-0.17%,"17,675"
163,AFK,VanEck Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,16.27,1.18%,"25,788"
164,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,44.09B,9.16,71.75,1.18%,"1,471,224"
165,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,23.23,-0.03%,"1,559"
166,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,170.71M,-,1.16,-0.85%,"668,128"
167,AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,309.47M,-,11.10,-5.13%,"1,953"
168,AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,USA,2.65B,-,9.19,0.44%,"10,908,881"
169,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,178.49M,9.72,12.34,0.65%,"62,703"
170,AFTR,AfterNext HealthTech Acquisition Corp.,Financial,Shell Companies,USA,562.30M,22.52,10.00,0.05%,"2,217"
171,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,15.56,0.79%,"5,552"
172,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,1.44B,20.71,15.47,0.78%,"175,097"
173,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,2.30B,4340.00,8.68,-0.57%,"4,362,393"
174,AGAE,Allied Gaming & Entertainment Inc.,Communication Services,Entertainment,USA,37.80M,-,1.02,5.52%,"38,401"
175,AGBA,AGBA Group Holding Limited,Financial,Shell Companies,Hong Kong,125.89M,-,1.85,-11.48%,"26,928"
176,AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA,465.84M,1010.50,10.10,0.05%,"1,910"
177,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.99B,11.86,134.17,0.23%,"203,632"
178,AGD,Abrdn Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,118.09M,2.64,9.41,1.84%,"61,445"
179,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,20.90M,-,0.55,-0.05%,"28,914"
180,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,724.91M,-,2.45,-4.30%,"2,629,577"
182,AGFY,Agrify Corporation,Industrials,Engineering & Construction,USA,3.00M,-,0.34,-1.17%,"1,114,859"
183,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,97.97,-0.35%,"4,823,380"
184,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA,390.60M,45.61,10.08,0.00%,"3,875"
185,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,43.06,-0.66%,"121,501"
186,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,5.36B,111.00,9.99,-0.20%,"2,370,162"
187,AGIL,"AgileThought, Inc.",Technology,Software - Application,USA,197.29M,-,4.39,7.33%,"7,678"
188,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.56B,-,27.03,-5.09%,"499,866"
189,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA,6.99B,-,16.28,-4.12%,"1,075,703"
190,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,21.82M,-,0.36,1.18%,"220,150"
191,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,1.20B,8.59,113.99,0.17%,"40,341"
192,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,39.80M,1.91,1.65,0.62%,"3,700"
193,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,6.09B,-,10.71,0.56%,"9,054,053"
194,AGNCL,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,6.16B,-,22.65,1.84%,"65,889"
195,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3.76B,15.16,63.22,0.93%,"268,163"
196,AGOX,Adaptive Alpha Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,20.61,0.93%,"9,027"
197,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,31.47,1.65%,"645,617"
198,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,16.48B,18.65,43.24,1.45%,"272,666"
199,AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,Farm Products,Canada,17.10M,-,1.03,-5.13%,"54,796"
200,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,899.70M,5.72,8.41,2.31%,"815,703"
202,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,174.82M,-,4.73,2.16%,"223,715"
203,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA,2.21B,63.89,16.93,1.93%,"280,434"
204,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,489.98M,24.32,36.43,0.94%,"56,301"
205,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,1.95B,247.10,80.06,2.80%,"96,117"
206,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,107.04,-0.12%,"14,017"
207,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,43.46,-0.53%,"80,471"
208,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,2.62B,30.08,19.13,-1.80%,"433,946"
209,AHG,Akso Health Group,Financial,Credit Services,China,9.40M,-,0.40,1.57%,"72,917"
210,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1.02B,14.47,11.69,1.04%,"202,018"
211,AHI,Advanced Health Intelligence Ltd.,Technology,Software - Application,Australia,12.51M,-,0.39,-4.89%,"34,241"
212,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,3.60M,-,0.95,5.56%,"15,952"
213,AHRN,Ahren Acquisition Corp.,Financial,Shell Companies,Cayman Islands,384.00M,43.76,10.24,0.20%,1
214,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,154.20M,-,4.55,1.79%,"374,665"
215,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,1.22B,-,10.90,-1.27%,"1,596,683"
216,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,56.69,-0.14%,"38,943"
217,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,28.55,-0.49%,"15,354"
218,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,176.61M,9.61,12.21,0.83%,"26,504"
219,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,46.36B,3.75,63.16,1.22%,"2,344,198"
220,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,36.20M,-,1.23,4.25%,"2,904"
222,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,19.53M,-,3.56,0.28%,"31,931"
223,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,17.08M,-,0.37,2.95%,"68,729"
224,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,3.89B,238.44,59.61,-0.13%,"260,916"
225,AIMD,"Ainos, Inc.",Healthcare,Biotechnology,USA,12.61M,-,0.63,-0.25%,"4,596"
226,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,3.06B,29.56,98.70,0.35%,"43,361"
227,AINC,Ashford Inc.,Financial,Asset Management,USA,43.34M,-,14.21,2.08%,"10,536"
228,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,558.38M,2.12,16.26,-0.73%,"170,693"
229,AIP,"Arteris, Inc.",Technology,Semiconductors,USA,145.09M,-,4.29,-1.15%,"57,220"
230,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,20.04,-0.79%,"9,737"
231,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1.45B,16.91,42.89,2.00%,"186,216"
232,AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA,5.12B,5.69,34.37,0.56%,"664,648"
233,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,66.39M,-,6.45,-0.68%,"18,587"
234,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,14.41M,9.84,4.38,-1.13%,"5,122"
235,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,-,-,44.33,0.11%,"23,873"
236,AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,USA,187.61M,-,3.32,-0.60%,"141,230"
237,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,65.46M,160.62,23.13,0.57%,316
